,created_at,text,Polarity,Subjectivity,Aggregate Score
result_type,2020-03-30 23:59:43,"Thanks, @elonmusk!  Can I have a @Tesla to drive inside until this all passes???  Will send addy thx! #tesla https://t.co",0.3125,0.2,0.25625
result_type,2020-03-30 23:59:19,"Shes so photogenic, I cant stop taking pics of her  @teslamotors @elonmusk #tesla #cars #dream #amazing https://t.co/TBE4vttCQ8",0.6000000000000001,0.9,0.75
result_type,2020-03-30 23:58:23,Officially the sexiest #Tesla #ModelY on  @thirdrowtesla https://t.co/M7FElOJlh5,0.0,0.0,0.0
result_type,2020-03-30 23:55:54,#Tesla is the new #Pacman : https://t.co/DgMycEpoXS,0.13636363636363635,0.45454545454545453,0.2954545454545454
result_type,2020-03-30 23:55:43,Tesla is likely to deploy one of the biggest battery systems in the world with 244 Megapacks in Hawaii      @Tesl,0.0,1.0,0.5
result_type,2020-03-30 23:55:13,Map of Tesla charging stations 1437 AD#Map #Maps #Terriblemaps #TerribleMap #tesla https://t.co/F8C4b2ECOl,0.0,0.0,0.0
result_type,2020-03-30 23:54:35,Map of Tesla charging stations 1437 AD#Map #Maps #Terriblemaps #TerribleMap #tesla https://t.co/F8C4b2ECOl,0.0,0.0,0.0
result_type,2020-03-30 23:51:50,Map of Tesla charging stations 1437 AD#Map #Maps #Terriblemaps #TerribleMap #tesla https://t.co/F8C4b2ECOl,0.0,0.0,0.0
result_type,2020-03-30 23:51:02,Parking the Model S https://t.co/j4MV7oCmIf #Tesla $TSLA @tesla @TeslaRoadTrip https://t.co/xrDQJy8IZl,0.0,0.0,0.0
result_type,2020-03-30 23:50:27,Map of Tesla charging stations 1437 AD#Map #Maps #Terriblemaps #TerribleMap #tesla https://t.co/F8C4b2ECOl,0.0,0.0,0.0
result_type,2020-03-30 23:50:22,Why would you think #Tesla would be honest about this? $TSLA #COVID19 #Coronavirushttps://t.co/RBrPDl4XLf,0.6,0.9,0.75
result_type,2020-03-30 23:49:41,Installed a DIY center console wrap and took off aero wheel covers for sportier look. Will put aero covers back on for roads,-0.05,0.05,0.0
result_type,2020-03-30 23:49:33,Map of Tesla charging stations 1437 AD#Map #Maps #Terriblemaps #TerribleMap #tesla https://t.co/F8C4b2ECOl,0.0,0.0,0.0
result_type,2020-03-30 23:49:10,Map of Tesla charging stations 1437 AD#Map #Maps #Terriblemaps #TerribleMap #tesla https://t.co/F8C4b2ECOl,0.0,0.0,0.0
result_type,2020-03-30 23:47:34,Tinted windows and full stealth @XPEL PPF. #aggressive #sunstoppers in Charlotte! #ModelY #Tesla @elonmusk @Tesla https://t.co,0.4375,0.55,0.49375
result_type,2020-03-30 23:47:01,Tesla and SpaceX are ramping up to build ventilators for hospitals.  https://t.co/7T4ViauLt8 #coronavirus #tesla https://t.co/agKSGfHAPo,0.0,0.0,0.0
result_type,2020-03-30 23:46:09,Map of Tesla charging stations 1437 AD#Map #Maps #Terriblemaps #TerribleMap #tesla https://t.co/F8C4b2ECOl,0.0,0.0,0.0
result_type,2020-03-30 23:46:08,Must have accessory for your #Tesla  https://t.co/0ECTCSdmSK,0.0,0.0,0.0
result_type,2020-03-30 23:45:35,Map of Tesla charging stations 1437 AD#Map #Maps #Terriblemaps #TerribleMap #tesla https://t.co/F8C4b2ECOl,0.0,0.0,0.0
result_type,2020-03-30 23:43:57,"An interesting talk.. have to look, to understand the technologies behind #Tesla's virtual power plant.. @lightbend https://t.co/MJOYKDddbN",0.04999999999999999,0.6,0.32499999999999996
result_type,2020-03-30 23:43:33,Map of Tesla charging stations 1437 AD#Map #Maps #Terriblemaps #TerribleMap #tesla https://t.co/F8C4b2ECOl,0.0,0.0,0.0
result_type,2020-03-30 23:42:39,Map of Tesla charging stations 1437 AD#Map #Maps #Terriblemaps #TerribleMap #tesla https://t.co/F8C4b2ECOl,0.0,0.0,0.0
result_type,2020-03-30 23:42:24,Map of Tesla charging stations 1437 AD#Map #Maps #Terriblemaps #TerribleMap #tesla https://t.co/F8C4b2ECOl,0.0,0.0,0.0
result_type,2020-03-30 23:40:12,"#tesla #supercharger in Lakewood, CO, USA is now open https://t.co/YCCzNTTi2Z",0.0,0.5,0.25
type,2020-03-30 23:39:35,Time Lapse of window tinting. Got a few aerial shots with the drone inside the garage too.#Tesla #WindowTint https://t.co/dBXisO0BBV,-0.2,0.1,-0.05
