,created_at,text,Polarity,Subjectivity,Aggregate Score
result_type,2020-04-22 23:59:27,"#Tesla Gets Downgraded But Will It Even Matter To Prices? BofA Throws In The Towel, Downgrades Tesla, Days After Mo https://t.co/HBfA8o9O5g",0.0,0.0,0.0
result_type,2020-04-22 23:59:13,Shop TSLA Tesla FYP54 Women's High-Waisted Ultra-Stretch Tummy Control Yoga Pants - Overstock#shop #tesla #women https://t.co/mVxvvaWTRx,0.0,0.0,0.0
result_type,2020-04-22 23:57:55,@elonmusk would Tesla consider increasing legal tow rating on Model X to 6500 lbs or 7000 lbs? #ModelX #Tesla,0.2,0.2,0.2
result_type,2020-04-22 23:56:46,#future FOCUS ON THE FUTURE #technology #ElonMusk #Tesla #Amazon #citiesofthefuturehttps://t.co/WX3OchnX7f,0.0,0.125,0.0625
result_type,2020-04-22 23:52:12,"So randomly, a Tesla Solar employee came and finished my final power meter install and testing. It is official!!! I am now b",-0.25,0.75,0.25
result_type,2020-04-22 23:50:00,Tesla Motors Inc (TSLA) stock rose by 6.6097%! Currently at 732.11. https://t.co/Salpg2wX5c #Tesla #Bot,0.375,0.675,0.525
result_type,2020-04-22 23:49:25,Fun #Tesla Parking Only sign: https://t.co/62ehmvHkD3 #bot https://t.co/YEp1GavoEr,0.15,0.6,0.375
result_type,2020-04-22 23:48:58,Incredible video from @Teslashowing how they developed Autopilot...Clearly explains why Lidar is not required...  https://t.co/uH6yDh8SOg,0.5,0.6,0.55
result_type,2020-04-22 23:43:06,Now is the great time for investors to shift focus to undervalued smaller-cap tech-focused companies. #tesla https://t.co/LEEhMuO5rY,0.8,0.75,0.775
result_type,2020-04-22 23:33:24,"Tesla Supercharging Network From 6 Stations in California to 16,320 Charging Stalls Globally$TSLA #Tesla https://t.",0.0,0.0,0.0
result_type,2020-04-22 23:32:05,What a lunatic question @kieran_gilbert asked. 'Can we push ahead with #ecars in light of #Oil insecurity?'Mate. Our bas,0.4,0.7,0.55
result_type,2020-04-22 23:31:08,"We are all one. Only egos, beliefs, and fears separate us. -Nikola Tesla https://t.co/CtJmsdaWdz  #tesla https://t.co/jq7FwLGKT6",0.0,1.0,0.5
result_type,2020-04-22 23:30:48,"Wow... Watch the video...Tesla drops a bunch of new Autopilot data, 3 billion miles and more - Electrek#TheDigitalCoac",0.24545454545454545,0.6515151515151515,0.4484848484848485
result_type,2020-04-22 23:26:18,"Tesla Supercharging Network From 6 Stations in California to 16,320 Charging Stalls Globally$TSLA #Tesla https://t.",0.0,0.0,0.0
result_type,2020-04-22 23:26:03,Our photographer @erikkuna pulled up to Kennedy Space Center Pad 39A this morning in his #Tesla and captured an extra s,-0.05,0.1,0.025
result_type,2020-04-22 23:24:03,That is how to slap #Tesla haters. Remind them... An epic way of writing 420 in the sky!  https://t.co/9QCUEKIZKK,0.125,0.4,0.2625
result_type,2020-04-22 23:23:25,@elonmusk That is how to slap #Tesla haters. Remind them  An epic way of writing 420 in the sky! ,0.125,0.4,0.2625
result_type,2020-04-22 23:23:14,"Tesla Supercharging Network From 6 Stations in California to 16,320 Charging Stalls Globally$TSLA #Tesla https://t.",0.0,0.0,0.0
result_type,2020-04-22 23:20:36,Spent #EarthDay with zero emissions  #Tesla #ModelX https://t.co/lQ4gpJaOE8,-0.1,0.1,0.0
result_type,2020-04-22 23:20:03,Wow wtf @lopezlinette @businessinsider? And then they wonder why people hate the media. #Tesla $TSLA  @elonmusk https://t.co/ir5jJ6E5T3,-0.4000000000000001,0.9666666666666667,0.2833333333333333
result_type,2020-04-22 23:15:01,"Wow... Watch the video...Tesla drops a bunch of new Autopilot data, 3 billion miles and more - Electrek https://t.co/RtDG0otdhK",0.24545454545454545,0.6515151515151515,0.4484848484848485
result_type,2020-04-22 23:14:12,Tesla Supercharging Network in UK  Ranks 1st Place in Every Single Category  Charging costs Charging speed E,-0.07142857142857142,0.21428571428571427,0.07142857142857142
result_type,2020-04-22 23:13:24,@elonmusk What were you going to bring #Tesla private for ? Would have had a huge return for the investors!!!,0.39062500000000006,0.6375,0.5140625
result_type,2020-04-22 23:13:21,Tesla Supercharging Network in UK  Ranks 1st Place in Every Single Category  Charging costs Charging speed E,-0.07142857142857142,0.21428571428571427,0.07142857142857142
result_type,2020-04-22 23:13:11,"So randomly, a Tesla Solar employee came and finished my final power meter install and testing. It is official!!! I am now b",-0.25,0.75,0.25
result_type,2020-04-22 23:10:43,#Tesla Model S Performance now boasts quicker acceleration https://t.co/6KYa5O8iV6 via @Roadshow,0.0,0.0,0.0
result_type,2020-04-22 23:09:17,Chinese #Tesla enthusiast added custom ambient lighting to his #Model3. The color and light intensity can be controlled by a,0.2,0.35,0.275
result_type,2020-04-22 23:08:01,What me warranty?#TeslaMCUIssues #TeslaWarrantyIssues #Tesla #TeslaModelS https://t.co/T3MLxcc3lI,0.0,0.0,0.0
result_type,2020-04-22 23:07:49,Chinese #Tesla enthusiast added custom ambient lighting to his #Model3. The color and light intensity can be controlled by a,0.2,0.35,0.275
result_type,2020-04-22 23:07:10,~ I think its possible for ordinary people to choose to be extraordinary. ~ #motivacion #motivation #elonmusk https://t.co/eNXCQ81X1I,0.027777777777777773,0.8333333333333334,0.4305555555555556
result_type,2020-04-22 23:06:14,Your #TESLA car has 7 active safety features [THREAD] : https://t.co/SHpF1nxhVB,-0.13333333333333333,0.6,0.23333333333333334
result_type,2020-04-22 23:04:59,World wide wifi incoming! #NonBank Financial #starlinksatellites #Tesla #SpaceX https://t.co/SlTWG8mEm9,-0.0625,0.2,0.06875
result_type,2020-04-22 23:04:54,"Given oil's collapse and POTUS ""slipping"" a couple times and saying ""generators"" instead, and they're being made by car manuf",-0.1,0.1,0.0
