,created_at,text,Polarity,Subjectivity,Aggregate Score
result_type,2020-03-29 23:59:27,Tesla Might Be Able To Deploy World Record 244 Megapacks Battery  Storage In Hawaii$TSLA #Tesla #Energy https://t,0.5,0.625,0.5625
result_type,2020-03-29 23:59:13,Tesla Might Be Able To Deploy World Record 244 Megapacks Battery  Storage In Hawaii$TSLA #Tesla #Energy https://t,0.5,0.625,0.5625
result_type,2020-03-29 23:57:48,Driving Stela with dad is fun! #dadlife #quarantine #drivingwithdad #tesla https://t.co/z0M7PQo7as,0.375,0.2,0.2875
result_type,2020-03-29 23:57:20,Our Tesla during pollen season in Georgia... #atlanta #pollen #tesla https://t.co/weYMyvSOLV,0.0,0.0,0.0
result_type,2020-03-29 23:56:08,Tesla Might Be Able To Deploy World Record 244 Megapacks Battery  Storage In Hawaii$TSLA #Tesla #Energy https://t,0.5,0.625,0.5625
result_type,2020-03-29 23:55:57,My favourite part of the #tesla #model3 is the awesome time killer when charging! The whole family loves to play wh https://t.co/TSI0SUc0XF,0.6,0.7,0.6499999999999999
result_type,2020-03-29 23:55:47,Tesla Might Be Able To Deploy World Record 244 Megapacks Battery  Storage In Hawaii$TSLA #Tesla #Energy https://t.co/XOjjGQzpUo,0.5,0.625,0.5625
result_type,2020-03-29 23:55:34,"This is my Tesla. There are many like it, but this one is mine. .  #Tesla @28delayslater  @thirdrowtesla https://t.c",0.5,0.5,0.5
result_type,2020-03-29 23:55:23,Finally got ahold of a couple more #TeslaSemi so its giveaway time!To enter just reply to this tweet with a link to,0.25,0.75,0.5
result_type,2020-03-29 23:53:48,The Corona Convoy at Anthony Henday #COVID19AB #tesla #tocalberta https://t.co/0dYJDniuyL,0.0,0.0,0.0
result_type,2020-03-29 23:53:41,Tesla is likely to deploy one of the biggest battery systems in the world with 244 Megapacks in Hawaii      @Tesl,0.0,1.0,0.5
