,created_at,text,Polarity,Subjectivity,Aggregate Score
result_type,2020-04-10 23:58:08,"Tesla China Achieved New Record of 10,160 Vehicles Sold In March 2020Impressive 261%  growth vs Feb 2020 during this",0.13636363636363635,0.45454545454545453,0.2954545454545454
result_type,2020-04-10 23:54:35,#Munro &amp; Associates CEO #SandyMunro compares the #Tesla #Model3 eAC compressor to the #ModelY #heatpump in episode 13,0.0,0.0,0.0
result_type,2020-04-10 23:53:50," Breaking Tesla Introduces China-Made Performance and Long Range RWD Model 3Performance: 429,800 RMB or",-0.05,0.4,0.17500000000000002
result_type,2020-04-10 23:51:06,"This is what I get when I go to the #tesla site @elonmusk help, I want to buy 500 million Teslas for tomorrow in Bi https://t.co/FnB022vVhy",0.0,0.0,0.0
result_type,2020-04-10 23:50:59,#Munro &amp; Associates CEO #SandyMunro compares the #Tesla #Model3 eAC compressor to the #ModelY #heatpump in episode 13,0.0,0.0,0.0
result_type,2020-04-10 23:42:52,#Teslas furlough calls begin with delivery and sales taking a hit  #TechCrunch https://t.co/OACmUMTSd4 @techcrunch https://t.co/KvvgoQveF8,0.0,0.0,0.0
result_type,2020-04-10 23:42:42,Know Exactly Where We Are in the Stock Market Cycle....Three Charts Every Trader and Investor Must See [includes fr https://t.co/ycOqVFKLch,0.25,0.25,0.25
result_type,2020-04-10 23:42:05,#Teslas furlough calls begin with delivery and sales taking a hit https://t.co/AbYav6XpEx https://t.co/J8owd5FAyy,0.0,0.0,0.0
result_type,2020-04-10 23:37:38,"I made a run for it. I needed time to myself, away from the house and kids. Time to clear my head, time to reflect. Spea",0.10000000000000002,0.3833333333333333,0.24166666666666667
result_type,2020-04-10 23:36:14,#Munro &amp; Associates CEO #SandyMunro compares the #Tesla #Model3 eAC compressor to the #ModelY #heatpump in episode 13,0.0,0.0,0.0
result_type,2020-04-10 23:35:48,#Tesla Model S Performance variant goes in a drag race battle against the mighty #Lamborghini #Aventador S #Roadster  s,0.15000000000000002,0.48541666666666666,0.31770833333333337
result_type,2020-04-10 23:35:37,#Munro &amp; Associates CEO #SandyMunro compares the #Tesla #Model3 eAC compressor to the #ModelY #heatpump in episode 13,0.0,0.0,0.0
result_type,2020-04-10 23:33:06,#Munro &amp; Associates CEO #SandyMunro compares the #Tesla #Model3 eAC compressor to the #ModelY #heatpump in episode 13,0.0,0.0,0.0
result_type,2020-04-10 23:28:21,Episode 15 of #Munros #Tesla #ModelY Performance teardown is live. Join #SandyMunro as he discusses tailor welded bla,0.13636363636363635,0.5,0.3181818181818182
result_type,2020-04-10 23:26:43,Tesla Model Y Tow Hitch now available as an option!  https://t.co/5WdHyXDrL2 $TSLA #Tesla #EV #ModelY https://t.co/WZwfh,0.5,0.4,0.45
result_type,2020-04-10 23:26:40,Red Bulls gumball car is awesome ! Tag your friends who own a Tesla3!#tesla #model3 #teslamodel3 #redbull https://t.co/gIsl7rOAlF,0.5333333333333333,0.6666666666666666,0.6
result_type,2020-04-10 23:26:03,@elonmusk @Tesla Thank you for the 20 critically needed medical devices to help fight #COVID19! #Tesla #MLKCH #MLKCHfrontlin,0.0,0.4,0.2
result_type,2020-04-10 23:24:42,"#Tesla's auto sales in #China reached a monthly record of 10,160 units in March despite #COVID19: China Passenger Car",0.0,0.0,0.0
result_type,2020-04-10 23:22:52,Santa Cruz biofoam company Cruz Foam announced Wednesday that it has received $1.2 million in funding from private https://t.co/J9I548GAHo,0.0,0.375,0.1875
result_type,2020-04-10 23:22:40,Blockchain-based #SupplyChain solution successfully tested by #Tesla - #BlockchainInfo #BlockchainNews - https://t.co/CJN64zFJwX,0.75,0.95,0.85
result_type,2020-04-10 23:20:44,Tesla Model 3 Became The Best-Selling  EV In Sweden in March 2020 @Tesla @elonmusk  #Tesla #TeslaModel3 https://t.co/,0.0,0.0,0.0
result_type,2020-04-10 23:18:11,Tesla Model S/3/X In The Top 4 Of Belgium  Best-Selling EVs In March 2020$TSLA #Tesla https://t.co/S1PZn3GfzF,0.5,0.5,0.5
result_type,2020-04-10 23:16:52,17.  EVEN #TESLA BELIEVED IN THE FIRMAMENTI know the #QAnon community appreciates the genius of #NikolaTesla And his,0.0,0.0,0.0
result_type,2020-04-10 23:15:40,@elonmusk @cleantechnica When is the #Tesla #HVAC SHOW?!,0.0,0.0,0.0
result_type,2020-04-10 23:12:56,@AlAhram #Tesla @Tesla @Model3Owners GD GOOO No more Oil @TESLAcharts @thirdrowtesla @TeslaMotorsClub,-0.25,0.5,0.125
result_type,2020-04-10 23:12:18,Update time!  #Tesla @paulcoronado https://t.co/Z7OAZFPCz7,0.0,0.0,0.0
result_type,2020-04-10 23:11:36,"This is what #Tesla Autopilot sees using #neuralnetworks that take 70,000 GPU hours to train and output 1,000 tensors at eac",0.0,0.0,0.0
result_type,2020-04-10 23:11:19,"Been waiting for the new update to hit my white #Model3 ...tried all the tricks screen taps, reset, you name it. https://t.co/Vcsb1E9MeD",0.06818181818181818,0.22727272727272727,0.1477272727272727
result_type,2020-04-10 23:09:21,Don't blink! Take a glance at the production line of #Tesla's Shanghai gigafactory. The plant resumed operation two months ago,0.0,0.0,0.0
result_type,2020-04-10 23:08:22,Podcast: Diane ByingtonIF SHE HAD STAYED@RMFWriters#Tesla #timetravel #romancehttps://t.co/IshFd7nLbA https://t.co/OtXCJaliEw,0.0,0.0,0.0
result_type,2020-04-10 23:07:08,@Model3Owners @elonmusk have a feeling this is the dash layout for Model S an X too..#TESLA $TSLA,0.0,0.0,0.0
result_type,2020-04-10 23:04:38,$TSLA current stock price: $573. #Tesla #TeslaStock #bot https://t.co/DVj1Vc18Ts,0.0,0.4,0.2
result_type,2020-04-10 23:02:07,https://t.co/LcbHIpaFb9 - Has The Stock Market (and Tesla) bottomed? What to look for in Q1 &amp; Q2 results.NEW VIDEO$,0.0,0.0,0.0
result_type,2020-04-10 23:00:49,The mother of all #Tesla #DIY(in Tony Horton's voice)@thirdrowtesla @28delayslater @TonyHortonUK https://t.co/1WzjZrzLCV,0.0,0.0,0.0
