,created_at,text,Polarity,Subjectivity,Aggregate Score
result_type,2020-03-15 23:57:56,#Tesla Model Y specs compared to #Tesla Model 3. https://t.co/N0HJkOI32H,0.0,0.0,0.0
result_type,2020-03-15 23:57:46,Whats up with #robotaxi from #tesla to save us all while in #COVID19   quarantine. #ElonMusk you know you can save us.,0.0,0.0,0.0
result_type,2020-03-15 23:55:00,"New #Tesla Supercharger going in at a GetGo in Washington, PA. I wasnt able to stop and take pictures, but I will stop later t",0.21212121212121213,0.35984848484848486,0.2859848484848485
result_type,2020-03-15 23:54:17,"Heres a neat infographic for those of you with an all EV household.Your cash is 400,000 X cleaner than an average gas p",-0.15,0.39999999999999997,0.12499999999999999
result_type,2020-03-15 23:53:54,"New #Tesla Supercharger going in at a GetGo in Washington, PA. I wasnt able to stop and take pictures, but I will stop later t",0.21212121212121213,0.35984848484848486,0.2859848484848485
result_type,2020-03-15 23:53:22,The Secret #ModelY Feature That No Other #Tesla Has!Watch here  https://t.co/HA6kqHfN3q https://t.co/8Gj4bJkt6m,-0.16875,0.5375,0.18437499999999998
result_type,2020-03-15 23:52:19,"#tesla #supercharger in Deltona, FL, USA is under construction https://t.co/ghXh1DrU1U",0.0,0.0,0.0
result_type,2020-03-15 23:51:31,Tesla Topped 1st Place  in Consumer Reports Owner Satisfaction Survey $TSLA #Tesla @elonmusk @Teslahttps:/,0.0,0.0,0.0
result_type,2020-03-15 23:51:25,The #teslamodely is soo much more awesome in person  #tesla @elonmusk @Tesla https://t.co/1ZISwKbx4r,0.75,0.75,0.75
result_type,2020-03-15 23:49:47,"The Economist: Tesla's Tech ""Leaves Rivals in the Dust"" https://t.co/Ketcqjhp5FTesla continues to surpass its riv https://t.co/kCnag8b2GM",0.0,0.0,0.0
result_type,2020-03-15 23:49:19,Hacker: Tesla Autopilot Will Soon Stop At Red lights and Stop Signs$TSLA #Tesla #Autopilothttps://t.co/h6jdvK8peF,0.0,0.0,0.0
result_type,2020-03-15 23:48:57,@CGrantWSJ I was considering a #Tesla but question his decision making on safety,0.0,0.0,0.0
result_type,2020-03-15 23:46:14,@jimcramer Which Major companies may go bankrupt in the next year due to the Coronavirus?#Tesla #Boeing #Uber https://t.co/vP5zHlZxtC,-0.020833333333333332,0.2916666666666667,0.13541666666666669
result_type,2020-03-15 23:39:52,"Important infoDespite the fear of the coronavirus, the planning and construction of the Giga Berlin will go according to",0.4,1.0,0.7
