,created_at,text,Polarity,Subjectivity,Aggregate Score
result_type,2020-04-08 23:57:34,"#Tesla engineers built a #respirator using #Model3 auto parts, simply brilliant. Next is to scale up production ! @elonmusk",0.45,0.5,0.475
result_type,2020-04-08 23:57:30,#Twinning - This is a beautiful pair of red Model S - P100Ds with Ludicrous Mode. #Tesla #ElectricVehicles https://t.co/M,0.425,0.5,0.4625
result_type,2020-04-08 23:55:55,Hey @Tesla community: What would you like to know most about #Tesla Hardware / Manufacturing tech? Will cover in our next @thi,0.25,0.25,0.25
result_type,2020-04-08 23:54:15,#Twinning - This is a beautiful pair of red Model S - P100Ds with Ludicrous Mode. #Tesla #ElectricVehicles https://t.co/MefgJfCEDQ,0.425,0.5,0.4625
result_type,2020-04-08 23:53:16,Dope or nope?  #Tesla Speedster https://t.co/AiudGT3JtO,0.0,0.0,0.0
result_type,2020-04-08 23:52:27,"Tesla has been one of the hardest hit stocks in the recent Coronavirus driven meltdown.However, Tesla's recent prod https://t.co/EjlumvWARj",0.0,0.25,0.125
result_type,2020-04-08 23:52:13,"Ok, that's my plan : One day, I'll go to Mars. With my super all terrain vehicle, let's hope this will be the one.Come",0.41666666666666663,0.5833333333333333,0.49999999999999994
result_type,2020-04-08 23:50:37,"What's all this I'm hearing about beans and #Tesla?Nonsense, I say... https://t.co/M62UCT7kJz",0.0,0.0,0.0
result_type,2020-04-08 23:50:21,Lots to cover #Wednesday on #FoxBusiness including: #Wuhan reopening#JackDorsey donation#stocks On #Bernie2020 quitting,0.0,0.0,0.0
result_type,2020-04-08 23:49:46,"Nitrogen Oxide levels in Barcelona have fallen a staggering 83%, the majority of which has been attributed to an unprece",0.0,0.0,0.0
result_type,2020-04-08 23:47:38,Tesla has nearly 1 million cars on the road  billions of miles driven and this growing fleet generates HUGE quantities,0.25000000000000006,0.65,0.45000000000000007
result_type,2020-04-08 23:47:05, Tesla Engineers shows How they used Model 3 Vehicle parts to build a prototype of a ventilator that could be used on #C,0.0,0.0,0.0
result_type,2020-04-08 23:45:27,Tesla Plans To Resume EVs Production May 4th$TSLA #Teslahttps://t.co/Xv42Lfwava,0.0,0.0,0.0
result_type,2020-04-08 23:45:05,#Tesla Roadster https://t.co/7sYaV9ItMH https://t.co/WgXnpsZFqT,0.0,0.0,0.0
result_type,2020-04-08 23:44:47,"#Tesla engineers built a #respirator using #Model3 auto parts, simply brilliant. Next is to scale up production ! @elonmusk",0.45,0.5,0.475
result_type,2020-04-08 23:42:26,"First time ever to see how efficiency of the Tesla Gigafactory 3 Shanghai.Check out all the Epic robots, also how the",0.175,0.3666666666666667,0.27083333333333337
result_type,2020-04-08 23:42:10,"First time ever to see how efficiency of the Tesla Gigafactory 3 Shanghai.Check out all the Epic robots, also how the",0.175,0.3666666666666667,0.27083333333333337
result_type,2020-04-08 23:41:14,"First time ever to see how efficiency of the Tesla Gigafactory 3 Shanghai.Check out all the Epic robots, also how the",0.175,0.3666666666666667,0.27083333333333337
result_type,2020-04-08 23:40:26,"#Tesla engineers built a #respirator using #Model3 auto parts, simply brilliant. Next is to scale up production ! @elonmusk",0.45,0.5,0.475
result_type,2020-04-08 23:37:49,"#Tesla engineers built a #respirator using #Model3 auto parts, simply brilliant. Next is to scale up production ! @elonmusk",0.45,0.5,0.475
result_type,2020-04-08 23:37:35,Go follow this guy for Gigafactory Berlin drone videos I shouldn't be allowed to have more followers than him  https://t.co/N62HfO9BoD,0.5,0.5,0.5
