,created_at,text,Polarity,Subjectivity,Aggregate Score
result_type,2020-04-03 23:54:39,Map of Tesla charging stations 1437 AD#Map #Maps #Terriblemaps #TerribleMap #tesla https://t.co/F8C4b2ECOl,0.0,0.0,0.0
result_type,2020-04-03 23:52:37,"#Tesla #Cybertruck #ElectricVehiclepre-orders have reportedly surpassed 600,000 and are well on the way to hit one million",0.0,0.0,0.0
result_type,2020-04-03 23:50:09,Giveaway time. RT for a chance to win a Hot Wheels Tesla. Winners will be chosen on April 9th. Must follow so I can DM you.,0.525,0.625,0.575
result_type,2020-04-03 23:48:44,Why can't #tesla drivers park their expensive auto assisting drive the right way? Why do you have to use my entire drivewa,-0.07142857142857144,0.6202380952380953,0.27440476190476193
result_type,2020-04-03 23:45:56,Dashcam Viewer right on your Tesla screen coming soon in an update!  #tesla https://t.co/Vxvq9UaFaJ,0.3571428571428571,0.5357142857142857,0.4464285714285714
result_type,2020-04-03 23:42:45,@Jeopardy What is a Theremin? Kudos to @FrankHannon &amp; @JimmyPage! #EdisonsMedicine #Tesla #LedZeppelin https://t.co/qwxTyZ0bx0,0.0,0.0,0.0
result_type,2020-04-03 23:41:02,Another @tesla death this week: https://t.co/dsWVUb9eVdDriver killed in Taiwan after #Tesla flipped and caught ablaze 202,-0.2,0.0,-0.1
result_type,2020-04-03 23:38:25,First Shift: #tesla hits critical Model 3 production goal. #audi #auto https://t.co/fLSdFraRLM https://t.co/omPCo5sGyC,0.125,0.5666666666666667,0.3458333333333333
result_type,2020-04-03 23:36:54,Another @tesla death this week: https://t.co/dsWVUb9eVdDriver killed in Taiwan after #Tesla flipped and caught ablaze 202,-0.2,0.0,-0.1
result_type,2020-04-03 23:36:15,Another @tesla death this week: https://t.co/dsWVUb9eVdDriver killed in Taiwan after #Tesla flipped and caught ablaze 202,-0.2,0.0,-0.1
result_type,2020-04-03 23:32:29,"In these uncertain times, I find myself spending a lot more time with my loved ones.#Tesla #coronahumour https://t.co/nnIqJnedw7",0.6,0.65,0.625
result_type,2020-04-03 23:30:54,@markp1950 @RoyPentland @ozhomeschool @Tangomitteckel @manifesto2000 @DenglerJoachim @Barbarajdurkin @DennisMuirhead1 @FriendsO,0.0,0.0,0.0
result_type,2020-04-03 23:29:44,"Breaking News! Nikola Tesla just dm me on instagram asking me if I was interested in ""ikan patin tempoyak."" I think https://t.co/ctUpeMtga3",0.25,0.5,0.375
result_type,2020-04-03 23:29:11,@jayyrik @damondamore @elonmusk put your hands in your pocket. You have enough to give to your employees to help them through this. #Tesla,0.0,0.5,0.25
result_type,2020-04-03 23:27:33,Map of Tesla charging stations 1437 AD#Map #Maps #Terriblemaps #TerribleMap #tesla https://t.co/F8C4b2ECOl,0.0,0.0,0.0
result_type,2020-04-03 23:24:59,Another @tesla death this week: https://t.co/dsWVUb9eVdDriver killed in Taiwan after #Tesla flipped and caught ab https://t.co/UzMmrehiad,-0.2,0.0,-0.1
result_type,2020-04-03 23:21:54,Giveaway time. RT for a chance to win a Hot Wheels Tesla. Winners will be chosen on April 9th. Must follow so I can DM you.,0.525,0.625,0.575
result_type,2020-04-03 23:20:46,Your #Tesla automatically stopping at traffic light and stop signs is likely just a few weeks away (for US customer https://t.co/9FejgvzXhA,0.06666666666666667,0.6,0.3333333333333333
result_type,2020-04-03 23:20:18,"Tesla Had The Best Ever Q1 Performance, Total Production 102K and Deliveries 88,400 UnitsCongratulation @elonmusk &amp;",0.5,0.525,0.5125
result_type,2020-04-03 23:20:07,Giveaway time. RT for a chance to win a Hot Wheels Tesla. Winners will be chosen on April 9th. Must follow so I can DM you.,0.525,0.625,0.575
result_type,2020-04-03 23:17:33,Hoping to roll out traffic lights &amp; stops to wide US release in a few weeks  $TSLA #Tesla #OTA https://t.co/ahYzMV36Xb,-0.15000000000000002,0.25,0.04999999999999999
result_type,2020-04-03 23:16:58,@markp1950 @RoyPentland @ozhomeschool @Tangomitteckel @manifesto2000 @DenglerJoachim @Barbarajdurkin https://t.co/IyM5IKfNX1,0.0,0.0,0.0
result_type,2020-04-03 23:15:38,#Tesla Cyber XXX https://t.co/OWoALWlc1k,0.0,0.0,0.0
result_type,2020-04-03 23:15:12,"#Ventilators donated by @Tesla arrived in NYC, thank you #tesla &amp; @elonmusk! #coronavirus #covid19 https://t.co/sV2PmfDP5F",0.0,0.0,0.0
result_type,2020-04-03 23:14:44,#Tesla Cyber XXX https://t.co/OWoALWlc1k,0.0,0.0,0.0
result_type,2020-04-03 23:13:03,Giveaway time. RT for a chance to win a Hot Wheels Tesla. Winners will be chosen on April 9th. Must follow so I can DM you.,0.525,0.625,0.575
result_type,2020-04-03 23:12:41,Giveaway time. RT for a chance to win a Hot Wheels Tesla. Winners will be chosen on April 9th. Must follow so I can DM you.,0.525,0.625,0.575
result_type,2020-04-03 23:12:27,#Tesla post gains on strong Q1 deliveries. That's as good as it gets in my view! A real poster child of #Bubble Sto https://t.co/eU7MgyaesM,0.5027777777777778,0.5444444444444445,0.5236111111111111
result_type,2020-04-03 23:12:07,"#Ventilators donated by @Tesla arrived in NYC, thank you #tesla &amp; @elonmusk! #coronavirus #covid19 https://t.co/sV2PmfDP5F",0.0,0.0,0.0
result_type,2020-04-03 23:09:57,"#Ventilators donated by @Tesla arrived in NYC, thank you #tesla &amp; @elonmusk! #coronavirus #covid19 https://t.co/sV2PmfDP5F",0.0,0.0,0.0
result_type,2020-04-03 23:08:47,"#Ventilators donated by @Tesla arrived in NYC, thank you #tesla &amp; @elonmusk! #coronavirus #covid19 https://t.co/sV2PmfDP5F",0.0,0.0,0.0
result_type,2020-04-03 23:04:36,Giveaway time. RT for a chance to win a Hot Wheels Tesla. Winners will be chosen on April 9th. Must follow so I can DM you.,0.525,0.625,0.575
result_type,2020-04-03 23:03:34,Giveaway time. RT for a chance to win a Hot Wheels Tesla. Winners will be chosen on April 9th. Must follow so I can DM you.,0.525,0.625,0.575
result_type,2020-04-03 23:03:31,Map of Tesla charging stations 1437 AD#Map #Maps #Terriblemaps #TerribleMap #tesla https://t.co/F8C4b2ECOl,0.0,0.0,0.0
result_type,2020-04-03 23:01:17,"#TeslaHRIssues #Tesla $tsla""the pay is extremely low...Management is a joke.""""The arrogance and favoritism in this place",-0.125,1.0,0.4375
type,2020-04-03 22:59:30,#covid19 #Parking #niceperk #yourmorning #thesocial #director #covid19tv #299queenstreetwest #parkingonthelot  sp https://t.co/Xd4vcbV1bL,0.0,0.0,0.0
