,created_at,text,Polarity,Subjectivity,Aggregate Score
result_type,2020-03-21 23:59:56,"#Australia: #SouthAustralia's #Tesla big #battery providing cheaper, clean #electricity faster, to stabilise the gr https://t.co/ab13DuxCYh",0.18333333333333335,0.4,0.2916666666666667
result_type,2020-03-21 23:59:41,"Stocks making the biggest moves after hours: Crowdstrike, Ollie's Bargain Outlet, #Tesla and more https://t.co/622lZh6O0z",0.5,0.5,0.5
result_type,2020-03-21 23:56:18,"#tesla #supercharger in Fuengirola, Spain CLOSED_TEMP https://t.co/rbllKcj072",0.0,0.0,0.0
result_type,2020-03-21 23:56:17,"#tesla #supercharger in Tarragona, Spain CLOSED_TEMP https://t.co/9rP6af0mQd",0.0,0.0,0.0
result_type,2020-03-21 23:56:17,"#tesla #supercharger in Getafe, Spain CLOSED_TEMP https://t.co/ztHdPrCJSx",0.0,0.0,0.0
result_type,2020-03-21 23:55:55,Safely drifting in a #Tesla Model Y : https://t.co/fIRDwOT4CD,0.5,0.5,0.5
result_type,2020-03-21 23:54:33,2019.40.50.1 incoming  maybe I will try the voice command show cones  #Tesla #Model3 #OTA #HolidayUpdate https://t.c,0.0,0.0,0.0
result_type,2020-03-21 23:54:25,Safely drifting in a #Tesla Model Y : https://t.co/fIRDwOT4CD,0.5,0.5,0.5
result_type,2020-03-21 23:54:14,Safely drifting in a #Tesla Model Y : https://t.co/fIRDwOT4CD,0.5,0.5,0.5
result_type,2020-03-21 23:53:35,@elonmusk @Tesla this is a #modelx for sure! More futuristic version!! #Tesla  https://t.co/1KnqUOqKQ1,0.703125,0.6944444444444444,0.6987847222222222
result_type,2020-03-21 23:51:00,WOW another Chinese DIY of Tesla Cybertruck with design language from Lamborghini. (English Subtitles) once they have fi,0.03333333333333333,0.3333333333333333,0.18333333333333332
result_type,2020-03-21 23:50:02,Tesla Upgrading Software to Do Pretty Much Anything Via Voice Command https://t.co/Z3PTY6RmXE #Tesla https://t.co/yz,0.225,0.6,0.4125
result_type,2020-03-21 23:49:33,Saw some guy unscrewing signs at my charging station...dont worry got his license plate and cops looking into it  https://t.co/zxFf8581up,0.0,0.0,0.0
result_type,2020-03-21 23:49:08,CAN Bus man-in-the-middle #opensource hardware/software beta release. Used to install a 10kW Tesla Charger or 40kWh bat,0.0,0.0,0.0
result_type,2020-03-21 23:47:31,"Im a multicoat white or original silver #tesla color guy. But after lots of internal struggles this week over it, Ive",0.125,0.25,0.1875
result_type,2020-03-21 23:46:41,We have 250k N95 masks. Aiming to start distributing those to hospitals tomorrow night. Should have over 1000 ventilators by,0.0,0.0,0.0
result_type,2020-03-21 23:45:03,WOW another Chinese DIY of Tesla Cybertruck with design language from Lamborghini. (English Subtitles) once they have fi,0.03333333333333333,0.3333333333333333,0.18333333333333332
result_type,2020-03-21 23:42:16,"@realDonaldTrump its Go Time  The storm is upon us! "" Your Uncle John Trump is so proud of you!!""#WWG1WGA https://t.co/EPIO7Ic2Sn",1.0,1.0,1.0
result_type,2020-03-21 23:38:30,Gas is $1.20/g samsclub it never gets old pulling up to #gas #gasstations in the #tesla #p90d @ Sam's Club https://t.co/EJZGP9yVAn,0.1,0.2,0.15000000000000002
result_type,2020-03-21 23:37:09,Lots of fun planned for 2020...if we're allowed...#socialclub #socialdistancing #tesla #wearefunIRL #andonline https://t.co/jZrlujrV9G,0.3,0.2,0.25
