,created_at,text,Polarity,Subjectivity,Aggregate Score
result_type,2020-03-24 23:59:27,My Tesla found a friend! #Tesla https://t.co/gDMRLlny1s,0.0,0.0,0.0
result_type,2020-03-24 23:57:34,"Despite being a coronavirus skeptic, Elon Musk, CEO of Tesla and Space X donates 1,255 ventilators to Los Angeles County a",0.0,0.0,0.0
result_type,2020-03-24 23:55:42,Heres my piece on how were dealing with this #Shutdown *#coronavirus #COVID19 #ALIVE #tesla  #MyCovidStory #COVIDI,0.1,0.4,0.25
result_type,2020-03-24 23:55:01,"Despite being a coronavirus skeptic, Elon Musk, CEO of Tesla and Space X donates 1,255 ventilators to Los Angeles C https://t.co/3OwQflnBQP",0.0,0.0,0.0
result_type,2020-03-24 23:54:20,@elonmusk would you happen to have any animal crossing Nintendo switches laying around that youd be willing to don https://t.co/SRd2Iqcsic,0.25,0.75,0.5
result_type,2020-03-24 23:51:27,The entire auto industry is suffering amid the pull back. Where does that leave $TSLA?@GerberKawasaki and @SteveWestly te,0.0,0.3125,0.15625
result_type,2020-03-24 23:51:17,#HW3 achievement unlocked!We have cones!!#GGthemodel3#Tesla #teslamodel3 https://t.co/04YovDyLaA,0.0,0.0,0.0
result_type,2020-03-24 23:46:43,Heres my piece on how were dealing with this #Shutdown *#coronavirus #COVID19 #ALIVE #tesla  #MyCovidStory #COVIDI,0.1,0.4,0.25
result_type,2020-03-24 23:45:35,Heres my piece on how were dealing with this #Shutdown *#coronavirus #COVID19 #ALIVE #tesla  #MyCovidStory #COVIDI,0.1,0.4,0.25
result_type,2020-03-24 23:45:23,"Musk Donates 1,200 Ventilators, 50,000 Masks #Tesla #Musk #ElonMusk #Elon #TeslaMotorsClub #Covid19 #Covid_19 #Coronav",0.0,0.0,0.0
result_type,2020-03-24 23:44:27,"Tesla is moving ahead with new car delivery options, including contactless deliveries#tesla #electricvehicles https://t.co/YhYRnpWhX4",0.13636363636363635,0.45454545454545453,0.2954545454545454
result_type,2020-03-24 23:44:02,Edge to Cloud: Building the Tesla Virtual Power Planthttps://t.co/SdN86BfLQy#EdgeComputing #Tesla https://t.co/B7QlL3eDTl,0.0,0.0,0.0
result_type,2020-03-24 23:41:46,"Hanging out in the backyard talking about #Tesla. And of course anything stocks, but we will not be making #coronavirus",0.0,0.0,0.0
result_type,2020-03-24 23:41:21,Heres my piece on how were dealing with this #Shutdown *#coronavirus #COVID19 #ALIVE #tesla  #MyCovidStory #COVIDI,0.1,0.4,0.25
result_type,2020-03-24 23:40:37,Yall trusting it #Tesla https://t.co/dV9z49Sykl,0.0,0.0,0.0
result_type,2020-03-24 23:40:16,HUGE FOR TESLA: #Tesla Files New Patent of Auto Learning From Massive Self Driving Data.  https://t.co/TIopanaY0I,0.1787878787878788,0.7848484848484848,0.4818181818181818
result_type,2020-03-24 23:39:29,"It was time for a little skate, some speed past my face a few spirals a couple of spins and @Signey2013 still could https://t.co/rHaFhqMqHt",-0.2125,0.2833333333333333,0.035416666666666666
result_type,2020-03-24 23:38:32,Heres my piece on how were dealing with this #Shutdown *#coronavirus #COVID19 #ALIVE #tesla  #MyCovidStory #COVIDI,0.1,0.4,0.25
result_type,2020-03-24 23:38:24,Who wants to talk about Tesla and the future? Considering a live stream from my house today. Answering questions and ta,0.11212121212121212,0.24166666666666667,0.17689393939393938
result_type,2020-03-24 23:38:22,"Like driving a #Tesla with an advanced electric engine lowers your cost per mile, an advanced #opticalengine like #Infinera's",0.4,0.6,0.5
result_type,2020-03-24 23:37:51,"Number of Teslas registered in Norway today was 32 with 1 Model S, 3 Model X and 28 Model 3 making it a total of 50614 Source",0.0,0.75,0.375
type,2020-03-24 23:37:06,When you get the call your job is #essentials  #blessed thru the temporary #storm @nextlevelautom1 shopnextlevelc https://t.co/jxkd1gjoJl,0.0,0.0,0.0
coordinates,2020-03-24 23:37:06,When you get the call your job is #essentials  #blessed thru the temporary #storm @nextlevelautom1 shopnextlevelc https://t.co/jxkd1gjoJl,0.0,0.0,0.0
result_type,2020-03-24 23:37:06,When you get the call your job is #essentials  #blessed thru the temporary #storm @nextlevelautom1 shopnextlevelc https://t.co/jxkd1gjoJl,0.0,0.0,0.0
result_type,2020-03-24 23:35:53,Heres my piece on how were dealing with this #Shutdown *#coronavirus #COVID19 #ALIVE #tesla  #MyCovidStory #COVIDI,0.1,0.4,0.25
result_type,2020-03-24 23:35:41,"Musk Donates 1,200 Ventilators, 50,000 Masks #Tesla #Musk #ElonMusk #Elon #TeslaMotorsClub #Covid19 #Covid_19 #Coronav",0.0,0.0,0.0
result_type,2020-03-24 23:34:11,Heres my piece on how were dealing with this #Shutdown *#coronavirus #COVID19 #ALIVE #tesla  #MyCovidStory #COVIDI,0.1,0.4,0.25
result_type,2020-03-24 23:34:03,The entire auto industry is suffering amid the pull back. Where does that leave $TSLA?@GerberKawasaki and @SteveWestly te,0.0,0.3125,0.15625
result_type,2020-03-24 23:33:38,New Tesla Navigation Data update! The map updates are probably for the next FSD features in the pipeline! Woot woot https://t.co/qwgXhvga6u,0.08522727272727272,0.22727272727272727,0.15625
result_type,2020-03-24 23:33:02,Now is the time to fully test Autonomous cars! #Tesla #CoronavirusLockdown #6trillion What do you say?,0.5,0.7,0.6
result_type,2020-03-24 23:32:37,"A #CyberTruck Clone shows up at an event in Kiev, Ukraine with a few #Tesla #ModelS and #ModelX This certainly got the at",0.007142857142857131,0.3357142857142857,0.1714285714285714
result_type,2020-03-24 23:32:12,"Solution to helping all, would be not paying electricity/NG.  It's an unlimited commodity, infrastructure's paid f https://t.co/kg4HMKwsil",0.0,0.0,0.0
result_type,2020-03-24 23:30:46,Last weeks top 5 stocks in the Invstr community #TESLA#BTCUSD#AMZN#AAPL#GOLD https://t.co/nUgtNl0MP4,0.25,0.2833333333333333,0.26666666666666666
result_type,2020-03-24 23:30:43,"I'm Asperger, no bullying.Inclusion at work.@EdsonMAsperger @peerxp @autcareandshare @udemy_brasil @django_tutorial @",0.0,0.0,0.0
result_type,2020-03-24 23:29:05,@eugenegu Why the hell would you waste your money on crap cars like that... grow up will ya. #Tesla,-0.5,0.4,-0.04999999999999999
result_type,2020-03-24 23:26:01,#Tesla CEO #ElonMusk Delivered 1K #Ventilators To #LA. #California #US #USA #coronavirus #COVID2019 #COVID19 https://t.co/X6C7ovzSqA,0.0,0.0,0.0
result_type,2020-03-24 23:25:06,"#ElonMusk Ships 1,200 #Ventilators From #China To #LosAngeles #Tesla #Covid19 #TuesdayMotivation  https://t.co/geB8MYTwrW",0.0,0.0,0.0
result_type,2020-03-24 23:24:35,#Tesla Touchless Delivery Options https://t.co/K3LKCJlpzn,0.0,0.0,0.0
result_type,2020-03-24 23:24:24,Heres my piece on how were dealing with this #Shutdown *#coronavirus #COVID19 #ALIVE #tesla  #MyCovidStory #COVIDI,0.1,0.4,0.25
result_type,2020-03-24 23:24:18,Heavy sterilization underway on this Model X in preparation of a custom clear bra installation. #autonuvoboston https://t.co/NHQIXEtjBf,-0.049999999999999996,0.44166666666666665,0.19583333333333333
result_type,2020-03-24 23:23:50,Heres my piece on how were dealing with this #Shutdown *#coronavirus #COVID19 #ALIVE #tesla  #MyCovidStory #COVIDI,0.1,0.4,0.25
result_type,2020-03-24 23:22:09,Tesla introduces several new car delivery options #tesla #eCar https://t.co/5MFoLx4xef,0.06818181818181818,0.22727272727272727,0.1477272727272727
result_type,2020-03-24 23:21:58,Heres my piece on how were dealing with this #Shutdown *#coronavirus #COVID19 #ALIVE #tesla  #MyCovidStory #COVIDI,0.1,0.4,0.25
result_type,2020-03-24 23:16:47,#Sustainable #Acceleration #Tesla Great #deal on a 2016 Model S P100D with #Ludacris and #Autopilot Check it out he https://t.co/5ZRS2R3A0A,0.8,0.75,0.775
result_type,2020-03-24 23:16:10,#Munros Tearing Down #Tesla Series Concludes! Check out the full list of topics here: https://t.co/dhZNelgvU2 https:/,0.07777777777777775,0.4194444444444445,0.24861111111111112
result_type,2020-03-24 23:15:06,"How about we get past fighting this virus  go back to work, then fix the world! Working as a human race i 100% bet https://t.co/wxvROiCMOk",-0.08333333333333333,0.11666666666666665,0.016666666666666663
result_type,2020-03-24 23:14:42,Heres my piece on how were dealing with this #Shutdown *#coronavirus #COVID19 #ALIVE #tesla  #MyCovidStory #COVIDI,0.1,0.4,0.25
result_type,2020-03-24 23:14:22,"Musk Donates 1,200 Ventilators, 50,000 Masks #Tesla #Musk #ElonMusk #Elon #TeslaMotorsClub #Covid19 #Covid_19 #Coronav",0.0,0.0,0.0
result_type,2020-03-24 23:10:03,"#Tesla gets ready to deliver Model Y, adds new configuration - Electrek https://t.co/nMBR8MN1xl #TechJunkieNews https://t.co/pOBLyLGoHi",0.16818181818181818,0.4772727272727273,0.32272727272727275
result_type,2020-03-24 23:08:57,"Musk Donates 1,200 Ventilators, 50,000 Masks #Tesla #Musk #ElonMusk #Elon #TeslaMotorsClub #Covid19 #Covid_19 #Coronav",0.0,0.0,0.0
result_type,2020-03-24 23:07:16,The entire auto industry is suffering amid the pull back. Where does that leave $TSLA?@GerberKawasaki and @SteveWestly te,0.0,0.3125,0.15625
result_type,2020-03-24 23:05:14,"#Tesla buys 1,255 ventilators from #China and delivers them to #LosAngeles https://t.co/bXyNk7BWr3 via @mashable https://t.co/W2Dre5inkR",0.0,0.0,0.0
result_type,2020-03-24 23:01:56,Heres my piece on how were dealing with this #Shutdown *#coronavirus #COVID19 #ALIVE #tesla  #MyCovidStory #COVIDI,0.1,0.4,0.25
result_type,2020-03-24 23:01:26,How Elon Musk wants to transform homes with no wasted energy #solarenergy #elonmusk  #tesla #solarhouse https://t.co/0xlW2ORLXK,0.15000000000000002,0.05,0.1
