,created_at,text,Polarity,Subjectivity,Aggregate Score
result_type,2020-03-17 23:59:38,https://t.co/o65GGJW0zOWhat did my battery drain look like after 2 weeks of sitting?  Come find out! #tesla #teslamodel3 #model3,0.0,0.0,0.0
result_type,2020-03-17 23:59:23,@TheTeslaLife Long Range AWD Model Y delivery set for Thursday here in Northern Virginia. Can't wait!#Tesla #TeslaModelY,-0.05,0.4,0.17500000000000002
result_type,2020-03-17 23:58:07,"#Tesla has no union, employees work 10 hour shifts in horrid conditions.  They recive very low pay and can be fired https://t.co/9Atwgcokcy",0.0,0.39,0.195
result_type,2020-03-17 23:57:24,Conversation with my 7 year old son while looking at a picture of an e-tron Son: is that car an automatic? Me: what d,0.1,0.2,0.15000000000000002
result_type,2020-03-17 23:57:11,Tesla Will Be A Trillions-Dollars Market Cap Co by 2024A short term hiccup doesnt change the long term perspective.,-0.025,0.35,0.16249999999999998
result_type,2020-03-17 23:56:10,"*TESLA ISN'T AN ESSENTIAL BUSINESS, CALIFORNIA COUNTY SAYS #teslaq #Tesla",0.0,0.3,0.15
result_type,2020-03-17 23:56:06,"This must mean that #Tesla is hitting 150,000 deliveries this quarter regardless of what happens to its customers o https://t.co/E7OaJgRbbC",-0.3125,0.6875,0.1875
result_type,2020-03-17 23:54:52,Tesla plans to operate its Fremont factory despite lockdown#tesla #fremont #sanfrancisco #lockdown #coronavirus #covi,0.0,0.0,0.0
result_type,2020-03-17 23:54:44,"Car crashes are more dangerous than coronavirus, SpaceX and Tesla CEO Elon Musk says...... #ElonMusk #Tesla #SpaceX #Coron",-0.04999999999999999,0.7,0.32499999999999996
result_type,2020-03-17 23:54:10,Stock Market Crash: What It Means For Tesla (TSLA) https://t.co/NTcQ0MWdnG via @YouTube @vincent13031925,0.0,0.0,0.0
result_type,2020-03-17 23:53:39,I hear multiple friends complaining about #Model3 delivered between December and January .. half baked cars produced in hurry,-0.08333333333333333,0.08333333333333333,0.0
result_type,2020-03-17 23:50:32,Tesla Will Be A Trillions-Dollars Market Cap Co by 2024A short term hiccup doesnt change the long term perspective.,-0.025,0.35,0.16249999999999998
result_type,2020-03-17 23:49:11,How is a #Tesla essential? And don't argue about jobs lost because Elon could pay them all a month's wages. https://t.co/vgwXXhqvPo,0.0,0.3,0.15
result_type,2020-03-17 23:48:40,So close..#Tesla #tesla420 https://t.co/3QtcU0wacI,0.0,0.0,0.0
