,created_at,text,Polarity,Subjectivity,Aggregate Score
result_type,2020-04-25 23:57:56,"#tesla gets recalled due to corrosion, everyone gets nuts and stupid shorts start sharing it everywhere and blaming https://t.co/PJt5hM9INe",-0.46249999999999997,0.6875,0.11250000000000002
result_type,2020-04-25 23:57:42,My #Tesla navigating Las Vegas strip construction  .  @thirdrowtesla @elonmusk @tesla https://t.co/C3BoQ0GYTb,0.0,0.0,0.0
result_type,2020-04-25 23:53:10,"In an old-school throwback video, Jay Leno invites Elon Musk and the first production Tesla Roadster to his garage https://t.co/VgYos2Jxkh",0.25,0.3333333333333333,0.29166666666666663
result_type,2020-04-25 23:53:09,Tesla calls some Fremont employees back to work before health orders are lifted #tesla #eCar https://t.co/2vxXGBOMGE,0.0,0.0,0.0
result_type,2020-04-25 23:53:05,Things Not to Fight #tesla https://t.co/F46eT0NUkL,0.0,0.0,0.0
result_type,2020-04-25 23:51:41,So @MMFlint has yet again proven he is not above promoting utter misinformation in his terrible new documentary Pl https://t.co/dZkxCPsbkh,-0.17272727272727273,0.510909090909091,0.16909090909090913
result_type,2020-04-25 23:49:30,"""THIS WAS NOT AN EVENT, BUT A FEATURE THAT COULD RESULT IN INJURY OR DEATH. I AM VERY CONCERNED THAT THE PASSENGER DOORS DO",0.2,0.3,0.25
result_type,2020-04-25 23:48:09,Been waiting for this update. Tesla 2020.12.6...Auto stop at traffic and stop lights.  #tesla #model3 https://t.co/VyFFxGrvoL,0.0,0.0,0.0
result_type,2020-04-25 23:46:27,"""THE CONTACT STATED THAT WHILE DRIVING ON AUTOPILOT, THE VEHICLE PULLED TO THE LEFT AND STRUCK THE FREEWAY CENTER DIVIDER.""",-0.05,0.05,0.0
result_type,2020-04-25 23:44:56,"Or it could be that I just call out fake people in the community, who instead of answering a question with a simple https://t.co/HOyIAQrvQa",-0.25,0.6785714285714286,0.2142857142857143
result_type,2020-04-25 23:42:21,High praise for #Tesla's Deep Learning program from Google Robotics scientist $TSLA https://t.co/DJLuEHWAIN https://t.co/kJzK8VYQFN,0.08,0.47,0.27499999999999997
result_type,2020-04-25 23:39:28,No more rolling through stop signs for me! Civil disobedience is a thing of the past #Tesla #fullselfdriving,-0.28125,0.375,0.046875
result_type,2020-04-25 23:35:04,Whos seen the new #MichaelMoore documentary? I can NOT believe the amount of misinformation and lies about #Tesla,0.06818181818181818,0.22727272727272727,0.1477272727272727
result_type,2020-04-25 23:29:43,Tessie drives itself and stops at stop signs now once you enable the new feature. Lesson learned - you must enable https://t.co/x53V6Vwelc,0.13636363636363635,0.45454545454545453,0.2954545454545454
result_type,2020-04-25 23:27:47,Cybertruck for the next Falcon Heavy payload @elonmusk ?  this would be more than epic!  lets make space cyber,0.10625,0.35,0.228125
result_type,2020-04-25 23:24:44,"Summer tires on, ready and nowhere to go.#tesla #Covid_19 https://t.co/O0c9IGCP9V",0.2,0.5,0.35
result_type,2020-04-25 23:23:54,@Tesla my car keeps flashing and nothing is there? Anyone else noticed this since upgrade?#Tesla#teslamodel3 #teslacommunity,0.0,0.0,0.0
result_type,2020-04-25 23:21:00,Oohh looky!! What we got here... Both cars!!! #Tesla #Software #selfdriving https://t.co/TsTd0khTj0,0.0,0.0,0.0
result_type,2020-04-25 23:18:18,5) BACK TO #RESEARCH ABOUT #FREQUENCYS &amp; #QDROPS 3975NOW OUR NICOLAS #TESLA THE UNCLE FROM #TRUMP @POTUSONE OF HIS QUOTES:,0.0,0.0,0.0
result_type,2020-04-25 23:11:34,Teslavation has begun! Tearing out rotten studs and installing new charging outlets. So much more to come. Will pos https://t.co/hy1MQC7wzd,0.3181818181818182,0.4772727272727273,0.3977272727272727
